state_name,state_abbreviation,county_name,county_fips_code,studyyear,female_unemployed_rate,male_unemployed_rate,2022_med_household_inc,population,poverty_rate,1_breadwinner_hh,2_breadwinners_hh,avg_centrebased_care_price,avg_family_childcare_price
Alabama,AL,Clarke County,1025,2018,17.0,12.4,42630,24387,25.4,2726,1626,117.57090909090908,111.46181818181817
Alabama,AL,Clarke County,1025,2019,17.4,8.0,43389,24128,23.2,2558,1597,119.59181818181816,115.22363636363634
Alabama,AL,Clarke County,1025,2020,14.1,9.4,42947,23866,25.0,2593,1481,121.61636363636363,118.97545454545458
Alabama,AL,Clarke County,1025,2021,14.1,10.4,48078,23346,21.9,2492,1665,123.63636363636364,122.72727272727273
Alabama,AL,Clarke County,1025,2022,11.9,13.1,47549,23058,22.4,2420,1431,125.66090909090909,126.47909090909087
Alabama,AL,Clay County,1027,2018,5.6,7.1,48646,13378,18.4,1270,1257,99.9218181818182,89.10090909090908
Alabama,AL,Clay County,1027,2019,5.2,5.6,47380,13337,17.9,1276,1244,103.10454545454546,92.73727272727275
Alabama,AL,Clay County,1027,2020,5.0,5.7,49080,13285,15.5,1289,1199,106.27727272727275,96.36363636363635
Alabama,AL,Clay County,1027,2021,7.0,5.4,49228,14184,16.9,1373,1427,109.45454545454545,100.0
Alabama,AL,Clay County,1027,2022,6.6,5.1,48074,14209,17.6,1289,1234,112.63181818181816,103.63636363636365
Alabama,AL,Cleburne County,1029,2018,6.1,8.7,47422,14938,18.5,1638,1191,99.9218181818182,89.10090909090908
Alabama,AL,Cleburne County,1029,2019,4.1,7.4,51900,14916,17.3,1656,1222,103.10454545454546,92.73727272727275
Alabama,AL,Cleburne County,1029,2020,2.3,4.1,53268,14952,15.6,1508,1319,106.27727272727275,96.36363636363635
Alabama,AL,Cleburne County,1029,2021,5.0,4.1,52683,15046,14.2,1447,1233,109.45454545454545,100.0
Alabama,AL,Cleburne County,1029,2022,3.5,1.9,51553,15144,12.9,1477,1185,112.63181818181816,103.63636363636365
Alabama,AL,Coffee County,1031,2018,5.8,6.0,62723,51288,15.1,6052,4331,90.95363636363635,83.14272727272727
Alabama,AL,Coffee County,1031,2019,5.8,5.7,64539,51662,15.1,5971,4512,96.97090909090912,88.00636363636362
Alabama,AL,Coffee County,1031,2020,5.6,5.4,65319,52238,15.4,6356,4388,102.98727272727272,92.8690909090909
Alabama,AL,Coffee County,1031,2021,5.3,4.9,64347,53043,15.9,6403,4422,109.0,97.72727272727273
Alabama,AL,Coffee County,1031,2022,5.3,4.3,62199,53559,16.3,6341,4415,115.01727272727273,102.59
Alabama,AL,Colbert County,1033,2018,4.4,7.2,56118,54495,16.3,5751,4098,123.90363636363635,120.15727272727273
Alabama,AL,Colbert County,1033,2019,4.4,4.3,55755,54771,15.5,5686,4281,125.33454545454548,125.35181818181817
Alabama,AL,Colbert County,1033,2020,4.2,3.8,55156,54957,15.5,6111,4019,126.75545454545455,130.53727272727272
Alabama,AL,Colbert County,1033,2021,3.9,3.6,56699,56789,15.1,6337,4125,128.1818181818182,135.72727272727272
Alabama,AL,Colbert County,1033,2022,3.6,3.2,56149,57270,15.9,5920,4338,129.6081818181818,140.91727272727272
Alabama,AL,Conecuh County,1035,2018,9.1,13.6,39149,12514,22.2,1926,377,117.57090909090908,111.46181818181817
Alabama,AL,Conecuh County,1035,2019,6.6,11.6,43891,12394,17.6,1625,448,119.59181818181816,115.22363636363634
Alabama,AL,Conecuh County,1035,2020,5.2,9.9,40761,12219,16.6,1211,708,121.61636363636363,118.97545454545458
Alabama,AL,Conecuh County,1035,2021,4.5,4.8,41405,11778,13.0,1268,677,123.63636363636364,122.72727272727273
Alabama,AL,Conecuh County,1035,2022,4.8,3.9,39888,11576,18.4,1357,533,125.66090909090909,126.47909090909087
Alabama,AL,Coosa County,1037,2018,4.3,7.2,45195,10855,14.0,765,592,99.9218181818182,89.10090909090908
Alabama,AL,Coosa County,1037,2019,2.1,3.6,45228,10757,13.5,767,574,103.10454545454546,92.73727272727275
Alabama,AL,Coosa County,1037,2020,1.1,4.0,50107,10696,12.5,750,561,106.27727272727275,96.36363636363635
Alabama,AL,Coosa County,1037,2021,1.0,5.6,54514,10442,11.1,727,615,109.45454545454545,100.0
Alabama,AL,Coosa County,1037,2022,2.6,6.0,52279,10329,11.1,781,569,112.63181818181816,103.63636363636365
Alabama,AL,Covington County,1039,2018,8.9,8.6,47909,37351,18.3,3821,2692,112.34636363636365,111.30363636363637
Alabama,AL,Covington County,1039,2019,9.6,7.3,48939,37200,18.6,3592,2658,117.38818181818179,116.05
Alabama,AL,Covington County,1039,2020,8.7,6.8,48951,37096,17.7,3390,2954,122.42181818181817,120.79999999999997
Alabama,AL,Covington County,1039,2021,7.4,6.7,50343,37490,18.0,3300,3195,127.45454545454545,125.54545454545455
Alabama,AL,Covington County,1039,2022,5.2,5.8,48772,37542,18.8,3136,3197,132.48818181818183,130.29545454545456
Alabama,AL,Crenshaw County,1041,2018,5.8,5.9,46978,13865,15.7,1577,1047,93.05454545454546,83.47545454545453
Alabama,AL,Crenshaw County,1041,2019,3.7,3.2,50069,13844,15.2,1458,1066,98.37090909090911,88.2290909090909
Alabama,AL,Crenshaw County,1041,2020,4.7,3.4,49003,13826,14.6,1364,1180,103.68363636363637,92.97818181818182
Alabama,AL,Crenshaw County,1041,2021,4.3,5.1,46982,13300,13.1,1384,1083,109.0,97.72727272727273
Alabama,AL,Crenshaw County,1041,2022,5.7,6.5,48557,13205,14.9,1161,1190,114.31727272727272,102.47636363636364
Alabama,AL,Cullman County,1043,2018,5.4,5.5,50218,82313,15.8,8013,7824,126.93363636363637,120.6509090909091
Alabama,AL,Cullman County,1043,2019,4.7,5.4,52105,82853,14.9,8533,7629,127.35090909090906,125.6809090909091
Alabama,AL,Cullman County,1043,2020,4.8,5.2,55646,83345,12.7,7620,8204,127.76454545454546,130.7018181818182
Alabama,AL,Cullman County,1043,2021,4.4,4.4,57432,87129,12.2,7969,8963,128.1818181818182,135.72727272727272
Alabama,AL,Cullman County,1043,2022,4.3,4.4,58119,88284,13.0,7771,9036,128.6,140.75272727272727
Alabama,AL,Dale County,1045,2018,9.9,7.8,54233,49255,18.4,6087,4102,90.95363636363635,83.14272727272727
Alabama,AL,Dale County,1045,2019,9.2,6.9,54768,49277,17.6,6259,3532,96.97090909090912,88.00636363636362
Alabama,AL,Dale County,1045,2020,10.5,7.7,52491,49293,18.4,6265,3557,102.98727272727272,92.8690909090909
Alabama,AL,Dale County,1045,2021,8.0,8.3,54557,49443,16.7,6465,3666,109.0,97.72727272727273
Alabama,AL,Dale County,1045,2022,7.7,7.8,52813,49455,17.5,6638,3584,115.01727272727273,102.59
Alabama,AL,Dallas County,1047,2018,12.1,11.4,37290,40029,31.1,6359,1857,112.34636363636365,111.30363636363637
Alabama,AL,Dallas County,1047,2019,11.9,10.2,39260,39149,29.1,6077,1825,117.38818181818179,116.05
Alabama,AL,Dallas County,1047,2020,10.4,10.4,38315,38184,29.2,5986,1618,122.42181818181817,120.79999999999997
Alabama,AL,Dallas County,1047,2021,8.5,8.6,38103,39162,24.3,5877,2050,127.45454545454545,125.54545454545455
Alabama,AL,Dallas County,1047,2022,10.5,7.7,37180,38326,27.1,5667,1933,132.48818181818183,130.29545454545456
Alabama,AL,DeKalb County,1049,2018,5.1,4.1,46295,71200,22.1,8427,5627,94.28636363636362,69.94272727272728
Alabama,AL,DeKalb County,1049,2019,5.1,3.1,46910,71310,21.1,8523,5638,97.71181818181817,73.2972727272727
Alabama,AL,DeKalb County,1049,2020,5.6,3.5,48607,71430,20.7,8462,6052,101.12909090909093,76.65090909090908
Alabama,AL,DeKalb County,1049,2021,5.2,3.5,48000,71554,20.6,8318,5855,104.54545454545455,80.0
Alabama,AL,DeKalb County,1049,2022,5.7,2.6,47920,71680,20.2,7942,6312,107.96272727272725,83.35363636363637
Alabama,AL,Elmore County,1051,2018,6.4,5.9,70029,81212,12.3,7827,8199,112.34636363636365,111.30363636363637
Alabama,AL,Elmore County,1051,2019,3.9,5.4,70634,81144,11.5,7920,8270,117.38818181818179,116.05
Alabama,AL,Elmore County,1051,2020,4.0,4.1,71673,81526,10.6,7699,8258,122.42181818181817,120.79999999999997
Alabama,AL,Elmore County,1051,2021,4.8,4.7,73681,87146,10.3,8385,8322,127.45454545454545,125.54545454545455
Alabama,AL,Elmore County,1051,2022,4.3,3.9,73258,87694,9.6,8092,8376,132.48818181818183,130.29545454545456
Alabama,AL,Escambia County,1053,2018,14.5,12.5,41300,37328,24.0,4208,2473,114.80545454545455,111.01181818181819
Alabama,AL,Escambia County,1053,2019,10.9,11.1,42079,37057,22.2,4302,2458,117.75363636363637,114.91363636363634
Alabama,AL,Escambia County,1053,2020,9.6,10.6,40892,36775,23.8,4313,2359,120.69272727272727,118.82545454545453
Alabama,AL,Escambia County,1053,2021,9.5,10.0,41926,36879,23.5,4401,2400,123.63636363636364,122.72727272727273
Alabama,AL,Escambia County,1053,2022,9.0,9.4,41153,36755,21.8,3991,2516,126.58000000000003,126.63909090909091
Alabama,AL,Etowah County,1055,2018,5.9,7.0,51947,102939,17.3,10781,7511,92.1127272727273,69.65909090909092
Alabama,AL,Etowah County,1055,2019,4.4,6.6,51779,102748,17.4,10655,7332,96.25727272727273,73.10272727272726
Alabama,AL,Etowah County,1055,2020,4.0,7.3,51674,102721,16.0,10252,7695,100.4009090909091,76.5563636363636
Alabama,AL,Etowah County,1055,2021,4.2,7.8,51213,103468,16.0,9560,8400,104.54545454545455,80.0
Alabama,AL,Etowah County,1055,2022,4.3,7.6,52177,103348,15.9,10065,8177,108.69,83.45363636363639
Alabama,AL,Fayette County,1057,2018,7.7,6.5,44200,16585,20.0,1293,1397,110.29090909090907,89.63
Alabama,AL,Fayette County,1057,2019,6.9,5.9,46233,16494,19.4,1341,1318,115.22727272727275,93.09000000000002
Alabama,AL,Fayette County,1057,2020,9.2,7.1,47689,16406,20.8,1433,1375,120.1590909090909,96.53999999999998
Alabama,AL,Fayette County,1057,2021,11.9,7.4,47916,16365,21.3,1344,1525,125.0909090909091,100.0
Alabama,AL,Fayette County,1057,2022,11.4,8.3,45650,16297,22.2,1233,1375,130.02272727272728,103.46000000000002
Alabama,AL,Franklin County,1059,2018,7.1,5.5,47742,31542,20.2,3833,2328,126.93363636363637,120.6509090909091
Alabama,AL,Franklin County,1059,2019,4.9,4.6,50476,31466,19.4,3988,2241,127.35090909090906,125.6809090909091
Alabama,AL,Franklin County,1059,2020,3.8,5.6,47350,31587,19.7,4279,1989,127.76454545454546,130.7018181818182
Alabama,AL,Franklin County,1059,2021,3.1,5.7,47560,32034,18.1,4587,2186,128.1818181818182,135.72727272727272
Alabama,AL,Franklin County,1059,2022,2.2,5.1,47359,32011,16.6,4269,2338,128.6,140.75272727272727
Alabama,AL,Geneva County,1061,2018,9.1,8.2,45008,26491,24.0,2803,1937,93.05454545454546,83.47545454545453
Alabama,AL,Geneva County,1061,2019,5.3,5.5,48409,26417,22.0,2613,2062,98.37090909090911,88.2290909090909
Alabama,AL,Geneva County,1061,2020,4.0,3.3,47804,26383,21.8,2828,2040,103.68363636363637,92.97818181818182
Alabama,AL,Geneva County,1061,2021,4.0,3.0,47503,26604,23.5,2950,2046,109.0,97.72727272727273
Alabama,AL,Geneva County,1061,2022,2.8,4.8,47608,26647,20.8,2712,2126,114.31727272727272,102.47636363636364
Alabama,AL,Greene County,1063,2018,10.9,20.9,25729,8426,38.7,1124,232,110.29090909090907,89.63
Alabama,AL,Greene County,1063,2019,10.3,12.6,28008,8324,38.1,1174,251,115.22727272727275,93.09000000000002
Alabama,AL,Greene County,1063,2020,10.3,14.5,30691,8221,36.4,890,185,120.1590909090909,96.53999999999998
Alabama,AL,Greene County,1063,2021,6.2,12.3,31420,7851,39.8,747,245,125.0909090909091,100.0
Alabama,AL,Greene County,1063,2022,0.0,7.5,32796,7706,32.9,761,425,130.02272727272728,103.46000000000002
Alabama,AL,Hale County,1065,2018,10.3,13.5,36074,14887,26.0,2079,747,110.29090909090907,89.63
Alabama,AL,Hale County,1065,2019,10.1,11.7,39493,14809,24.2,2064,682,115.22727272727275,93.09000000000002
Alabama,AL,Hale County,1065,2020,8.0,10.3,35412,14754,24.6,1693,645,120.1590909090909,96.53999999999998
Alabama,AL,Hale County,1065,2021,7.8,6.0,35200,14819,24.9,1405,709,125.0909090909091,100.0
Alabama,AL,Hale County,1065,2022,9.1,6.0,35851,14742,25.0,1171,815,130.02272727272728,103.46000000000002
Alabama,AL,Henry County,1067,2018,5.4,8.0,57360,17124,13.5,1286,1596,93.05454545454546,83.47545454545453
Alabama,AL,Henry County,1067,2019,5.0,6.7,58020,17133,13.8,1179,1694,98.37090909090911,88.2290909090909
Alabama,AL,Henry County,1067,2020,5.3,5.6,59472,17123,15.2,1191,1510,103.68363636363637,92.97818181818182
Alabama,AL,Henry County,1067,2021,6.3,3.8,60898,17165,14.4,1266,1587,109.0,97.72727272727273
Alabama,AL,Henry County,1067,2022,6.9,3.9,58395,17282,15.5,1205,1613,114.31727272727272,102.47636363636364
Alabama,AL,Houston County,1069,2018,6.8,7.3,53685,104352,18.3,12711,8228,90.95363636363635,83.14272727272727
Alabama,AL,Houston County,1069,2019,6.6,6.3,55193,104702,18.2,12640,8165,96.97090909090912,88.00636363636362
Alabama,AL,Houston County,1069,2020,6.0,5.3,56429,105319,17.6,12419,8294,102.98727272727272,92.8690909090909
Alabama,AL,Houston County,1069,2021,5.7,4.8,54742,106355,17.7,12834,8066,109.0,97.72727272727273
Alabama,AL,Houston County,1069,2022,5.5,4.5,55064,107040,17.8,12517,8200,115.01727272727273,102.59
Alabama,AL,Jackson County,1071,2018,5.5,6.3,46983,52094,20.2,6034,3186,94.28636363636362,69.94272727272728
Alabama,AL,Jackson County,1071,2019,4.9,5.4,48452,51852,18.6,5870,3155,97.71181818181817,73.2972727272727
Alabama,AL,Jackson County,1071,2020,4.9,5.4,48965,51765,17.9,5461,3539,101.12909090909093,76.65090909090908
Alabama,AL,Jackson County,1071,2021,5.2,6.1,47726,52548,17.6,5939,3495,104.54545454545455,80.0
Alabama,AL,Jackson County,1071,2022,5.9,6.2,46748,52618,18.6,5547,3592,107.96272727272725,83.35363636363637
Alabama,AL,Jefferson County,1073,2018,7.6,7.0,61335,659892,17.0,78365,52693,148.85181818181817,112.59454545454545
Alabama,AL,Jefferson County,1073,2019,6.6,6.4,62525,659680,16.0,77414,53520,147.2027272727273,118.58454545454543
Alabama,AL,Jefferson County,1073,2020,6.4,6.1,63351,658615,15.7,75746,52836,145.5581818181818,124.5645454545455
Alabama,AL,Jefferson County,1073,2021,6.0,6.2,63580,672550,15.9,76649,53804,143.9090909090909,130.54545454545453
Alabama,AL,Jefferson County,1073,2022,5.1,5.6,63595,672265,15.9,75668,53076,142.26454545454547,136.52636363636358
Alabama,AL,Lamar County,1075,2018,10.2,6.4,43372,13933,21.2,1516,1112,110.29090909090907,89.63
Alabama,AL,Lamar County,1075,2019,8.2,9.3,44502,13885,20.6,1624,1035,115.22727272727275,93.09000000000002
Alabama,AL,Lamar County,1075,2020,3.6,6.3,49091,13854,17.7,1326,1258,120.1590909090909,96.53999999999998
Alabama,AL,Lamar County,1075,2021,2.5,6.8,47223,13929,16.3,1156,1378,125.0909090909091,100.0
Alabama,AL,Lamar County,1075,2022,2.6,7.0,49565,13885,15.3,1249,1369,130.02272727272728,103.46000000000002
Alabama,AL,Lauderdale County,1077,2018,6.0,4.8,54593,92585,15.2,9674,6902,123.90363636363635,120.15727272727273
Alabama,AL,Lauderdale County,1077,2019,5.4,4.1,55789,92556,14.6,9168,7097,125.33454545454548,125.35181818181817
Alabama,AL,Lauderdale County,1077,2020,5.1,4.3,55692,92870,13.0,9181,6870,126.75545454545455,130.53727272727272
Alabama,AL,Lauderdale County,1077,2021,4.4,3.3,54500,93342,13.3,8633,7189,128.1818181818182,135.72727272727272
Alabama,AL,Lauderdale County,1077,2022,3.6,3.6,56081,94329,13.3,8323,7080,129.6081818181818,140.91727272727272
Alabama,AL,Lawrence County,1079,2018,5.0,6.3,52528,33171,16.8,3926,2135,126.93363636363637,120.6509090909091
Alabama,AL,Lawrence County,1079,2019,3.8,6.4,52068,33058,18.0,3675,2080,127.35090909090906,125.6809090909091
Alabama,AL,Lawrence County,1079,2020,3.8,3.8,54194,32969,16.8,3495,2100,127.76454545454546,130.7018181818182
Alabama,AL,Lawrence County,1079,2021,3.0,2.9,56366,33089,15.4,3602,2149,128.1818181818182,135.72727272727272
Alabama,AL,Lawrence County,1079,2022,2.6,3.2,54786,33116,15.8,3668,2151,128.6,140.75272727272727
Alabama,AL,Lee County,1081,2018,6.1,5.3,56706,159287,21.4,16842,13019,118.49454545454546,116.45727272727271
Alabama,AL,Lee County,1081,2019,5.8,4.6,59697,161152,19.6,17008,13144,121.32999999999997,119.9727272727273
Alabama,AL,Lee County,1081,2020,5.4,4.0,60870,163461,19.4,16420,13663,124.16454545454545,123.4890909090909
Alabama,AL,Lee County,1081,2021,5.6,3.1,62338,172223,19.9,18226,14487,127.0,127.0
Alabama,AL,Lee County,1081,2022,4.6,3.0,59288,175126,18.5,18073,15101,129.84,130.51636363636365
Alabama,AL,Limestone County,1083,2018,8.0,6.1,66623,93052,13.7,10169,8786,123.90363636363635,120.15727272727273
Alabama,AL,Limestone County,1083,2019,7.1,5.6,69236,94727,13.6,9800,8892,125.33454545454548,125.35181818181817
Alabama,AL,Limestone County,1083,2020,6.6,3.9,73911,96921,12.7,9534,8814,126.75545454545455,130.53727272727272
Alabama,AL,Limestone County,1083,2021,6.0,3.4,77102,101217,11.5,8764,10390,128.1818181818182,135.72727272727272
Alabama,AL,Limestone County,1083,2022,5.6,3.1,80146,104199,11.2,8624,10384,129.6081818181818,140.91727272727272
Alabama,AL,Lowndes County,1085,2018,11.5,11.6,36383,10236,27.9,1663,302,114.99727272727272,111.75818181818181
Alabama,AL,Lowndes County,1085,2019,9.2,10.8,34842,10079,26.8,1594,324,119.15,116.35909090909094
Alabama,AL,Lowndes County,1085,2020,8.3,13.2,38679,9936,22.4,1597,274,123.30181818181818,120.95000000000003
Alabama,AL,Lowndes County,1085,2021,5.8,12.6,34837,10334,21.5,1588,369,127.45454545454545,125.54545454545455
Alabama,AL,Lowndes County,1085,2022,6.2,9.2,33125,10153,25.5,1387,469,131.60727272727274,130.14090909090908
Alabama,AL,Macon County,1087,2018,12.1,12.2,37847,19054,25.8,1890,808,118.49454545454546,116.45727272727271
Alabama,AL,Macon County,1087,2019,10.0,12.9,38709,18708,24.4,1702,737,121.32999999999997,119.9727272727273
Alabama,AL,Macon County,1087,2020,8.9,13.2,40768,18437,23.4,1707,710,124.16454545454545,123.4890909090909
Alabama,AL,Macon County,1087,2021,10.5,11.7,42840,19490,22.2,1997,601,127.0,127.0
Alabama,AL,Macon County,1087,2022,8.0,17.6,41206,19198,25.0,2025,497,129.84,130.51636363636365
Alabama,AL,Madison County,1089,2018,6.3,5.4,74832,357560,13.2,37114,32768,123.90363636363635,120.15727272727273
Alabama,AL,Madison County,1089,2019,5.4,4.6,75921,362276,12.5,38491,32206,125.33454545454548,125.35181818181817
Alabama,AL,Madison County,1089,2020,4.8,4.2,76920,367686,11.4,37880,32328,126.75545454545455,130.53727272727272
Alabama,AL,Madison County,1089,2021,4.6,4.2,77557,382149,10.9,39958,33459,128.1818181818182,135.72727272727272
Alabama,AL,Madison County,1089,2022,4.4,4.1,78058,389781,10.7,39685,33554,129.6081818181818,140.91727272727272
Alabama,AL,Marengo County,1091,2018,10.7,8.8,38715,19538,21.8,2381,1312,107.77545454545454,89.26
Alabama,AL,Marengo County,1091,2019,7.9,8.1,38560,19321,21.9,2525,1394,113.55090909090906,92.84000000000002
Alabama,AL,Marengo County,1091,2020,8.2,5.8,37983,19138,21.6,2495,1250,119.32090909090907,96.41999999999999
Alabama,AL,Marengo County,1091,2021,5.1,5.7,38563,19397,22.3,1930,1687,125.0909090909091,100.0
Alabama,AL,Marengo County,1091,2022,2.8,2.9,42975,19180,21.5,2138,1409,130.8609090909091,103.58000000000001
Alabama,AL,Marion County,1093,2018,5.2,5.9,41763,29965,17.5,2608,2390,110.29090909090907,89.63
Alabama,AL,Marion County,1093,2019,4.2,6.5,41679,29866,17.5,2285,2760,115.22727272727275,93.09000000000002
Alabama,AL,Marion County,1093,2020,4.7,7.4,47125,29818,17.3,2543,2548,120.1590909090909,96.53999999999998
Alabama,AL,Marion County,1093,2021,5.4,6.4,48561,29392,17.5,2699,2591,125.0909090909091,100.0
